name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2021-01-01,4.8,-1.6,2,1.8,-6.1,-1.9,0.6,90.4,0.969,100,4.17,rain,0,0.3,40.7,21.3,311.1,1016.9,35.3,22.6,20.2,1.7,2,,2021-01-01T08:40:18,2021-01-01T16:17:18,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03971099999,F4142,EIDW,E7034,03969099999,03967099999,EIME"
dublin,2021-01-02,3.1,-2.2,0.4,-1,-7.2,-4.2,-0.7,92.4,0.078,100,4.17,rain,0,0.1,42.5,22.6,289.3,1021.3,47.6,18.4,14.8,1.2,1,,2021-01-02T08:40:05,2021-01-02T16:18:27,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-03,3.1,-1.9,0.5,-0.6,-6.4,-3.6,-1.1,89.1,0.796,100,4.17,rain,0,0,51.8,22,339.1,1024.5,59.2,16.6,11.9,1,1,,2021-01-03T08:39:50,2021-01-03T16:19:39,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-04,4.7,2.2,3.5,0.4,-2,-0.7,0.4,80.1,3.153,100,12.5,rain,0,0,48.6,24,51.3,1027.4,71.3,16.4,9.4,0.8,1,,2021-01-04T08:39:31,2021-01-04T16:20:54,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-01-05,4.6,1.4,2.7,0.4,-2.6,-1.3,0,82.5,0.518,100,8.33,rain,0,0,45.7,22.8,25.7,1028.2,71.1,17.7,17.2,1.4,1,,2021-01-05T08:39:08,2021-01-05T16:22:11,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-06,2.3,-1.9,1,-0.2,-6.1,-2.5,-0.2,92,3.856,100,12.5,"rain,snow",0.1,0.4,24.1,16.5,315.4,1024.9,78.1,17.1,14.9,1.3,1,,2021-01-06T08:38:41,2021-01-06T16:23:31,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-07,1.1,-2.4,-0.2,-3.4,-6.1,-4.6,-1.2,93.3,0.284,100,12.5,"rain,snow",0,0.4,32.4,23.9,262.3,1020.1,66.3,14.7,17,1.4,1,,2021-01-07T08:38:12,2021-01-07T16:24:54,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-08,1.8,-4.6,-1.1,-2.1,-9.6,-6.1,-3.6,83.9,0,0,0,,0,0.2,40.7,26.6,319.3,1023.2,26,18,20,1.9,1,,2021-01-08T08:37:38,2021-01-08T16:26:19,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-09,2,-6.3,-1.8,-1.6,-10.6,-5.9,-4.6,82,0,0,0,,0,0,26.6,18.9,249.9,1027.1,34.4,18.6,28.4,2.5,2,,2021-01-09T08:37:02,2021-01-09T16:27:47,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-10,5.1,1.8,3.5,1.2,-2.7,-0.6,2.8,95.2,0.001,100,4.17,rain,0,0,39.2,22.4,242,1024.6,92.8,7.6,26.6,2.1,2,,2021-01-10T08:36:22,2021-01-10T16:29:16,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-11,9.1,4.9,7.3,5.7,0.5,3.4,6.1,92.2,0.526,100,12.5,rain,0,0,58,31.6,246.4,1013.8,93.2,11.9,14.1,1.2,1,,2021-01-11T08:35:38,2021-01-11T16:30:48,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-12,9.1,4.8,6.2,6.3,2.5,3.8,4.7,90.3,9.518,100,16.67,rain,0,0.1,54.7,29.9,9.2,1015.2,93.3,15,16.8,1.5,1,,2021-01-12T08:34:51,2021-01-12T16:32:22,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-01-13,11,6.6,9.8,11,5.2,8.6,8.8,93.7,7.847,100,12.5,rain,0,0,40,29.8,236.6,1015.6,92.2,11.7,25.7,2.1,2,,2021-01-13T08:34:02,2021-01-13T16:33:58,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-14,10,2.1,6.7,10,-1.5,3.2,5.3,90.5,0.182,100,8.33,rain,0,0,52.6,32.2,288.8,1020.5,63.6,16.8,26.6,2.2,2,,2021-01-14T08:33:08,2021-01-14T16:35:36,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-15,8.8,-2,3.9,4.9,-4,1,2.1,89,0.001,100,4.17,"rain,snow",0,0,81.7,34.9,171.4,1024.6,72.2,13.3,22.4,1.8,1,,2021-01-15T08:32:12,2021-01-15T16:37:16,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-16,10.1,4.9,7,10.1,0.6,3.1,4.3,82.9,5.3,100,4.17,rain,0,0,74.8,35.3,251.6,1015.6,75.4,16.6,23.5,1.9,1,,2021-01-16T08:31:13,2021-01-16T16:38:57,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-17,6,2.2,4.2,2.9,-2.4,0.2,2.1,86.3,0,0,0,,0,0,47.9,23.6,244.8,1024.6,63.4,20.4,16.9,1.4,1,,2021-01-17T08:30:11,2021-01-17T16:40:40,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-18,8.9,4.1,6.3,7.1,0.3,3.6,4.5,88.7,0.815,100,8.33,rain,0,0,38.9,22.3,222,1015.7,86.4,15.6,16.8,1.4,1,,2021-01-18T08:29:06,2021-01-18T16:42:24,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-19,10.9,8.1,9.7,10.9,6.3,8.5,8.5,92.5,18.87,100,16.67,rain,0,0,57.6,30,221.1,994.4,92.9,12.5,19.3,1.7,1,,2021-01-19T08:27:58,2021-01-19T16:44:10,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-20,10.1,1.2,3.8,10.1,-4,0.7,3.1,94.7,7.371,100,16.67,"rain,snow",0.9,0.5,52.9,23.3,285.7,981.2,88.2,11.9,5.8,0.5,0,,2021-01-20T08:26:47,2021-01-20T16:45:57,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-21,5.6,1,2.6,1.9,-4,-2.4,1.1,89.9,0,0,0,,0,0.1,55.4,35,257.3,982.6,64.2,19.6,33.6,3,2,,2021-01-21T08:25:33,2021-01-21T16:47:46,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-22,3.9,0.3,1.4,0,-4.6,-2.9,0,90.7,0.149,100,4.17,rain,0,0,40.3,22.1,256.3,991.7,55.6,17.3,28.8,2.6,2,,2021-01-22T08:24:17,2021-01-22T16:49:35,0.3,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-23,3.1,-1.3,0.3,-0.9,-7,-3.8,-1.8,86.1,0,0,0,,0,0.1,35.6,22.5,255,996.6,74.1,17.1,40.4,3.6,2,,2021-01-23T08:22:58,2021-01-23T16:51:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-24,1.3,-2.2,-0.4,-1,-6.4,-4,-1.3,94.1,0.716,100,12.5,"rain,snow",1.2,0.9,34.2,17.1,291.4,998.3,69.3,11,15.4,1.4,1,,2021-01-24T08:21:36,2021-01-24T16:53:18,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-01-25,3.1,-1.4,0.8,-0.4,-6.4,-3.2,-1.8,83.1,0,0,0,,0,0.4,28.8,18.1,234.7,1011,48.8,21.2,38.5,3.4,2,,2021-01-25T08:20:12,2021-01-25T16:55:10,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-26,9.8,2.4,6.7,7.7,-0.5,3.8,5.2,89.8,1.419,100,8.33,rain,0,0,47.5,25.3,209.5,1008.8,93.1,16.1,22.4,1.9,2,,2021-01-26T08:18:46,2021-01-26T16:57:04,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-27,10.8,8,8.8,10.8,5.3,7.3,7.7,93.1,3.001,100,12.5,rain,0,0,29.2,16.1,166.2,1008.1,92.2,13.3,18.3,1.6,1,,2021-01-27T08:17:17,2021-01-27T16:58:58,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-28,11.6,8,10,11.6,5.2,8.9,8.1,87.5,7.662,100,8.33,rain,0,0,51.8,32.6,229.5,996.2,83.4,15.2,19.4,1.5,1,,2021-01-28T08:15:46,2021-01-28T17:00:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-01-29,9.1,5.8,7.4,6.2,1.8,4.2,6,91,1.053,100,16.67,rain,0,0,57.6,35.4,266.3,997.1,89.8,11.9,18.4,1.5,1,,2021-01-29T08:14:12,2021-01-29T17:02:48,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-01-30,6,3.7,4.5,1.5,-2.9,-1.2,2.6,88,20.823,100,16.67,rain,0.3,0.3,79.2,49.1,81.2,997.6,95.7,10.6,8.9,0.7,1,,2021-01-30T08:12:36,2021-01-30T17:04:44,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"03971099999,F6683,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-01-31,3.8,1.9,3,-0.1,-4,-1.7,0.8,86.5,6.139,100,8.33,"rain,snow",1.1,0.8,50,30.9,116.5,995.9,89.6,13.4,8,0.6,0,,2021-01-31T08:10:59,2021-01-31T17:06:41,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-02-01,6.1,2.9,4.6,3.8,-0.4,2,3.5,92.6,0.414,100,16.67,rain,0,0.2,48.2,25.2,126.6,994.4,92.5,13.5,27,2.4,1,,2021-02-01T08:09:19,2021-02-01T17:08:38,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-02,9.6,5.8,7.8,8.2,2,5.3,6.8,93.8,16.269,100,12.5,rain,0,0,54.4,23,144.2,985.5,89.7,10.7,34,2.9,2,,2021-02-02T08:07:37,2021-02-02T17:10:35,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-03,8,6.3,7.2,5.2,2.6,4,4.7,84.4,1.283,100,8.33,rain,0,0,53.6,28.1,221.6,991.4,87,15.3,38.3,3.4,2,,2021-02-03T08:05:53,2021-02-03T17:12:33,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-04,9.6,6.5,7.6,7.5,3,4.9,5.6,87.1,2.528,100,16.67,rain,0,0,59.4,27.8,199.4,1000.4,87.6,15.4,41,3.5,3,,2021-02-04T08:04:07,2021-02-04T17:14:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-05,6,2.3,4.3,4.5,0.5,1.9,3.3,92.8,0.149,100,8.33,rain,0,0,23.8,16.5,264.4,1004.9,90.9,14.6,35.3,2.9,3,,2021-02-05T08:02:19,2021-02-05T17:16:29,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-02-06,6,3.8,5.3,2.5,0.3,1.6,4,91.1,1.257,100,16.67,rain,0,0,43.6,26.8,42.8,1009.4,93.4,14.6,17.1,1.5,1,,2021-02-06T08:00:30,2021-02-06T17:18:27,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-07,4.8,1.8,3.1,-0.3,-4.8,-2.8,-1.1,74.6,0.919,100,8.33,rain,0,0,64.8,38.6,86.2,1010.8,92.5,16.9,13.5,1.2,1,,2021-02-07T07:58:39,2021-02-07T17:20:25,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-02-08,2,0.4,1.6,-3.6,-5.7,-4.6,-4.1,66.3,0.173,100,4.17,"rain,snow",0,0,61.2,40.1,82,1009.6,87.9,15.5,19.8,1.6,1,,2021-02-08T07:56:46,2021-02-08T17:22:24,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-02-09,1.9,0.4,1.1,-4.3,-5.9,-5.1,-3.9,69.2,1.122,100,8.33,"rain,snow",0.9,0.6,63,37.7,86.5,1009.4,88.3,12.6,26.2,2.3,2,,2021-02-09T07:54:51,2021-02-09T17:24:22,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-10,3,-0.3,1.1,2.6,-6,-3.9,-5,63.9,0.324,100,4.17,"rain,snow",0,1,46.4,34.1,89,1019,71.6,12.5,56.3,4.9,4,,2021-02-10T07:52:55,2021-02-10T17:26:21,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-11,2,0,1,-4.2,-6.9,-5.2,-5.2,63.4,0.7,100,20.83,"rain,snow",0,0.1,70.2,36,115.6,1022.3,83,10.4,19.3,1.4,1,,2021-02-11T07:50:57,2021-02-11T17:28:19,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-12,4,1,2.4,-1.5,-5.8,-3.5,-4.5,60.8,0.4,100,16.67,"rain,snow",0,0,180,36,107.2,1024.1,88,10,52.8,4.5,3,,2021-02-12T07:48:58,2021-02-12T17:30:18,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"F6683,F4142,EIDW,EIME,03967099999"
dublin,2021-02-13,4.3,0,2.4,-1.6,-6.9,-4,-0.2,83.3,0.622,100,4.17,"rain,snow",1.6,1,73.3,45.9,137.9,1019.9,88.6,7.8,28.4,2.2,3,,2021-02-13T07:46:58,2021-02-13T17:32:16,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"03971099999,F6683,F4142,EIDW,03969099999,EIME,03967099999"
dublin,2021-02-14,12.1,4.6,8.6,12.1,-0.8,5.3,6.2,85.4,0.206,100,8.33,rain,0,0,79.9,43.7,167.9,1007.5,73.7,13.2,43.9,3.8,2,,2021-02-14T07:44:56,2021-02-14T17:34:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-15,12.1,7.1,9.5,12.1,4.3,7.5,6.2,80.3,1.001,100,8.33,rain,0,0,59.8,35.4,182,1008.1,67.6,17.3,67,5.7,4,,2021-02-15T07:42:52,2021-02-15T17:36:12,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-02-16,10.5,7.1,8.9,10.5,3.6,6.3,4.9,76.1,0.326,100,12.5,rain,0,0,63,33.9,208.3,999.9,52.6,19.8,61.7,5.3,3,,2021-02-16T07:40:48,2021-02-16T17:38:10,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-17,9.7,5.6,7.9,6.4,1.4,4.4,4,76.6,0.565,100,8.33,rain,0,0,76,31.9,192.3,997.1,72.4,18.6,62.7,5.5,3,,2021-02-17T07:38:42,2021-02-17T17:40:08,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-18,10,1.8,5.8,6.6,-2.8,1.5,2.7,80.4,3.339,100,16.67,rain,0,0,71.3,39.3,217.8,993.3,71.5,19.6,79.2,6.9,4,,2021-02-18T07:36:35,2021-02-18T17:42:05,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-19,11.8,6.9,9.7,11.8,2.6,7.8,6.9,82.6,0.632,100,4.17,rain,0,0,88.9,43.9,175.1,990.8,88.3,12.8,50.2,4.4,4,,2021-02-19T07:34:27,2021-02-19T17:44:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-20,12,7,9.5,12,2.7,7.3,6.8,83.3,1.021,100,4.17,rain,0,0,81,47.5,177.8,988.7,66.8,12.4,40.3,3.4,2,,2021-02-20T07:32:17,2021-02-20T17:46:00,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,EIME,03967099999,03961099999"
dublin,2021-02-21,11.6,6.9,8.6,11.6,3.2,5.9,3.5,70.5,0.029,100,8.33,rain,0,0,66.6,34,200.7,1002,75.6,18.2,85.6,7.4,4,,2021-02-21T07:30:07,2021-02-21T17:47:56,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-22,11.1,3.4,7.6,11.1,0.1,5.1,2.6,71.5,0.001,100,4.17,rain,0,0,61.6,33.7,189.8,1011.2,53.7,19.4,90.3,7.7,4,,2021-02-22T07:27:56,2021-02-22T17:49:53,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-23,13.2,8.9,10.9,13.2,4.4,9.5,8.4,84.2,4.774,100,12.5,rain,0,0,89.7,51.4,188.6,1005,92.5,14.2,48.4,4.2,3,,2021-02-23T07:25:43,2021-02-23T17:51:49,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-24,10.6,7.1,9.4,10.6,4.1,7.6,5.9,79.2,4.318,100,12.5,rain,0,0,69.1,34.5,215.5,1011.4,89.5,18.9,54.6,4.8,4,,2021-02-24T07:23:30,2021-02-24T17:53:45,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-25,9.5,3.2,6.1,6.6,0.5,3,2.3,77,0.226,100,12.5,rain,0,0,41.4,23.9,242,1025.7,29.4,19.5,84,7.5,5,,2021-02-25T07:21:16,2021-02-25T17:55:41,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-26,11.2,2.3,6.6,11.2,-0.6,4.6,3.1,78.7,0,0,0,,0,0,36.7,20.2,210.7,1035.3,38.5,23.2,86.8,7.5,5,,2021-02-26T07:19:01,2021-02-26T17:57:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-27,11.6,4.4,7.5,11.6,1.6,6.2,3.9,78.5,0.002,100,4.17,rain,0,0,20.9,13.2,219.3,1040.1,53.9,23.2,53.9,4.7,2,,2021-02-27T07:16:45,2021-02-27T17:59:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
